xxxx-yyyy-zzzzzz-01010101111
Date,VisiToronto Raptors,VisiToronto RaptorsPts,Home,HomePts
10/30/2013,Denver Nuggets,100,Utah Jazz,81
10/30/2013,Washington Wizards,95,Dallas Mavericks,105
10/30/2013,Detroit Pistons,95,Golden State Warriors,113
10/30/2013,New Orleans Pelicans,95,Los Angeles Lakers,116
10/30/2013,Milwaukee Bucks,95,Miami Heat,118
10/30/2013,New York Knicks,95,Atlanta Hawks,91
10/30/2013,Charlotte Bobcats,89,Boston Celtics,83
10/30/2013,Los Angeles Lakers,99,Denver Nuggets,111
10/30/2013,Oklahoma City Thunder,103,Los Angeles Clippers,111
10/30/2013,Toronto Raptors,103,Memphis Grizzlies,87
10/30/2013,Cleveland Cavaliers,95,Minnesota Timberwolves,124
10/30/2013,Milwaukee Bucks,91,Orlando Magic,94
10/30/2013,Houston Rockets,117,Philadelphia 76ers,123
10/30/2013,Phoenix Suns,89,Portland Trail Blazers,90
10/30/2013,Brooklyn Nets,86,Sacramento Kings,107
10/30/2013,Washington Wizards,79,San Antonio Spurs,92
10/30/2013,New Orleans Pelicans,105,Utah Jazz,111
10/30/2013,Oklahoma City Thunder,115,Golden State Warriors,116
10/30/2013,Houston Rockets,109,New York Knicks,106
10/30/2013,Philadelphia 76ers,103,Atlanta Hawks,113
10/30/2013,Portland Trail Blazers,109,Boston Celtics,96
10/30/2013,Charlotte Bobcats,86,Cleveland Cavaliers,80
10/30/2013,Minnesota Timberwolves,113,Denver Nuggets,117
10/30/2013,Milwaukee Bucks,77,Indiana Pacers,104
10/30/2013,Memphis Grizzlies,89,Los Angeles Lakers,86
10/30/2013,Dallas Mavericks,104,Miami Heat,110
10/30/2013,Brooklyn Nets,100,Phoenix Suns,98
10/30/2013,Detroit Pistons,97,Sacramento Kings,90
10/30/2013,Chicago Bulls,96,Toronto Raptors,80
10/30/2013,San Antonio Spurs,91,Utah Jazz,82
10/30/2013,Miami Heat,97,Charlotte Bobcats,81
10/30/2013,Indiana Pacers,94,Chicago Bulls,110
10/30/2013,Utah Jazz,88,Golden State Warriors,102
10/30/2013,Denver Nuggets,111,Houston Rockets,122
10/30/2013,Brooklyn Nets,103,Los Angeles Clippers,110
10/30/2013,Oklahoma City Thunder,92,Milwaukee Bucks,79
10/30/2013,Boston Celtics,88,Minnesota Timberwolves,106
10/30/2013,Philadelphia 76ers,98,New Orleans Pelicans,135
10/30/2013,Atlanta Hawks,110,New York Knicks,90
10/30/2013,Dallas Mavericks,108,Orlando Magic,100
10/30/2013,Cleveland Cavaliers,103,Washington Wizards,96
10/30/2013,Detroit Pistons,99,Los Angeles Lakers,114
10/30/2013,Memphis Grizzlies,97,Sacramento Kings,86
10/30/2013,Portland Trail Blazers,118,Toronto Raptors,110
10/30/2013,Portland Trail Blazers,108,Brooklyn Nets,98
10/30/2013,Charlotte Bobcats,81,Chicago Bulls,86
10/30/2013,Philadelphia 76ers,94,Dallas Mavericks,97
10/30/2013,Memphis Grizzlies,106,Los Angeles Clippers,102
10/30/2013,Denver Nuggets,113,Oklahoma City Thunder,115
10/30/2013,Golden State Warriors,98,Utah Jazz,87
10/30/2013,New York Knicks,86,Detroit Pistons,92
10/30/2013,Boston Celtics,85,Houston Rockets,109
10/30/2013,Atlanta Hawks,88,Miami Heat,104
10/30/2013,Phoenix Suns,104,Sacramento Kings,107
10/30/2013,Minnesota Timberwolves,100,Washington Wizards,104
10/30/2013,Detroit Pistons,85,Atlanta Hawks,93
10/30/2013,Brooklyn Nets,91,Charlotte Bobcats,95
10/30/2013,Washington Wizards,98,Cleveland Cavaliers,91
10/30/2013,Houston Rockets,120,Dallas Mavericks,123
10/30/2013,Memphis Grizzlies,88,Golden State Warriors,81
10/30/2013,Portland Trail Blazers,91,Milwaukee Bucks,82
10/30/2013,Los Angeles Clippers,102,Minnesota Timberwolves,98
10/30/2013,Utah Jazz,98,New Orleans Pelicans,105
10/30/2013,Indiana Pacers,103,New York Knicks,96
10/30/2013,Miami Heat,120,Orlando Magic,92
10/30/2013,Toronto Raptors,108,Philadelphia 76ers,98
10/30/2013,Sacramento Kings,113,Phoenix Suns,106
10/30/2013,Boston Celtics,93,San Antonio Spurs,104
10/30/2013,Chicago Bulls,87,Denver Nuggets,97
10/30/2013,Los Angeles Clippers,91,Oklahoma City Thunder,105
10/30/2013,Indiana Pacers,97,Boston Celtics,82
10/30/2013,Phoenix Suns,98,Charlotte Bobcats,91
10/30/2013,Utah Jazz,93,Dallas Mavericks,103
10/30/2013,Atlanta Hawks,96,Detroit Pistons,89
10/30/2013,Golden State Warriors,95,Los Angeles Lakers,102
10/30/2013,San Antonio Spurs,102,Memphis Grizzlies,86
10/30/2013,Brooklyn Nets,81,Minnesota Timberwolves,111
10/30/2013,Cleveland Cavaliers,100,New Orleans Pelicans,104
10/30/2013,Milwaukee Bucks,107,Philadelphia 76ers,115
10/30/2013,Chicago Bulls,95,Portland Trail Blazers,98
10/30/2013,Washington Wizards,88,Toronto Raptors,96
10/30/2013,Boston Celtics,94,Atlanta Hawks,87
10/30/2013,Dallas Mavericks,100,Denver Nuggets,102
10/30/2013,Portland Trail Blazers,113,Golden State Warriors,101
10/30/2013,Minnesota Timberwolves,101,Houston Rockets,112
10/30/2013,Philadelphia 76ers,98,Indiana Pacers,106
10/30/2013,Sacramento Kings,102,Los Angeles Clippers,103
10/30/2013,Orlando Magic,99,Miami Heat,101
10/30/2013,Charlotte Bobcats,96,Milwaukee Bucks,72
10/30/2013,Cleveland Cavaliers,96,San Antonio Spurs,126
10/30/2013,New York Knicks,89,Washington Wizards,98
10/30/2013,Detroit Pistons,109,Brooklyn Nets,97
10/30/2013,Chicago Bulls,82,Los Angeles Clippers,121
10/30/2013,Sacramento Kings,86,Los Angeles Lakers,100
10/30/2013,Utah Jazz,73,Oklahoma City Thunder,95
10/30/2013,Phoenix Suns,104,Orlando Magic,96
10/30/2013,Boston Celtics,96,Charlotte Bobcats,86
10/30/2013,Denver Nuggets,110,Dallas Mavericks,96
10/30/2013,Milwaukee Bucks,94,Detroit Pistons,113
10/30/2013,Minnesota Timberwolves,84,Indiana Pacers,98
10/30/2013,Houston Rockets,93,Memphis Grizzlies,86
10/30/2013,Phoenix Suns,92,Miami Heat,107
10/30/2013,New York Knicks,91,Portland Trail Blazers,102
10/30/2013,New Orleans Pelicans,93,San Antonio Spurs,112
10/30/2013,Chicago Bulls,83,Utah Jazz,89
10/30/2013,Orlando Magic,109,Atlanta Hawks,92
10/30/2013,Golden State Warriors,102,New Orleans Pelicans,101
10/30/2013,Brooklyn Nets,102,Toronto Raptors,100
10/30/2013,Los Angeles Lakers,111,Washington Wizards,116
10/30/2013,Memphis Grizzlies,100,Boston Celtics,93
10/30/2013,Los Angeles Lakers,99,Brooklyn Nets,94
10/30/2013,Indiana Pacers,99,Charlotte Bobcats,74
10/30/2013,Miami Heat,95,Cleveland Cavaliers,84
10/30/2013,Golden State Warriors,99,Dallas Mavericks,103
10/30/2013,Chicago Bulls,99,Detroit Pistons,79
10/30/2013,Atlanta Hawks,84,Houston Rockets,113
10/30/2013,New York Knicks,80,Los Angeles Clippers,93
10/30/2013,Washington Wizards,100,Milwaukee Bucks,92
10/30/2013,Denver Nuggets,117,Minnesota Timberwolves,110
10/30/2013,San Antonio Spurs,88,Oklahoma City Thunder,94
10/30/2013,Philadelphia 76ers,94,Orlando Magic,105
10/30/2013,Portland Trail Blazers,106,Phoenix Suns,120
10/30/2013,Dallas Mavericks,87,Atlanta Hawks,88
10/30/2013,Cleveland Cavaliers,86,Boston Celtics,103
10/30/2013,Milwaukee Bucks,76,Charlotte Bobcats,92
10/30/2013,New York Knicks,95,Denver Nuggets,97
10/30/2013,Los Angeles Lakers,106,Detroit Pistons,102
10/30/2013,Brooklyn Nets,95,Houston Rockets,114
10/30/2013,Washington Wizards,73,Indiana Pacers,93
10/30/2013,Golden State Warriors,112,Oklahoma City Thunder,113
10/30/2013,San Antonio Spurs,109,Orlando Magic,91
10/30/2013,New Orleans Pelicans,121,Philadelphia 76ers,105
10/30/2013,Los Angeles Clippers,104,Sacramento Kings,98
10/30/2013,Miami Heat,90,Toronto Raptors,83
10/30/2013,Phoenix Suns,112,Utah Jazz,101
10/30/2013,Chicago Bulls,93,Cleveland Cavaliers,97
10/30/2013,Minnesota Timberwolves,112,Dallas Mavericks,106
10/30/2013,Brooklyn Nets,97,Memphis Grizzlies,88
10/30/2013,Boston Celtics,85,Milwaukee Bucks,92
10/30/2013,Utah Jazz,112,Phoenix Suns,104
10/30/2013,Houston Rockets,112,San Antonio Spurs,106
10/30/2013,Atlanta Hawks,101,Washington Wizards,108
10/30/2013,Philadelphia 76ers,100,Detroit Pistons,115
10/30/2013,Indiana Pacers,105,Los Angeles Clippers,100
10/30/2013,Portland Trail Blazers,114,Los Angeles Lakers,108
10/30/2013,Charlotte Bobcats,98,Miami Heat,99
10/30/2013,New Orleans Pelicans,103,New York Knicks,99
10/30/2013,Minnesota Timberwolves,103,Oklahoma City Thunder,113
10/30/2013,Golden State Warriors,115,Sacramento Kings,113
10/30/2013,Denver Nuggets,112,Toronto Raptors,98
10/30/2013,New Orleans Pelicans,131,Chicago Bulls,128
10/30/2013,Indiana Pacers,102,Portland Trail Blazers,106
10/30/2013,Atlanta Hawks,100,San Antonio Spurs,102
10/30/2013,Houston Rockets,103,Utah Jazz,109
10/30/2013,Orlando Magic,80,Washington Wizards,98
10/30/2013,Milwaukee Bucks,100,Boston Celtics,108
10/30/2013,Denver Nuggets,111,Brooklyn Nets,87
10/30/2013,Charlotte Bobcats,82,Dallas Mavericks,89
10/30/2013,Toronto Raptors,103,Golden State Warriors,112
10/30/2013,Phoenix Suns,91,Memphis Grizzlies,110
10/30/2013,Detroit Pistons,107,Miami Heat,97
10/30/2013,Orlando Magic,125,Philadelphia 76ers,126
10/30/2013,Oklahoma City Thunder,97,Sacramento Kings,95
10/30/2013,Los Angeles Clippers,97,Atlanta Hawks,107
10/30/2013,Denver Nuggets,88,Cleveland Cavaliers,98
10/30/2013,Phoenix Suns,97,Houston Rockets,88
10/30/2013,Detroit Pistons,105,Milwaukee Bucks,98
10/30/2013,Dallas Mavericks,100,New Orleans Pelicans,97
10/30/2013,Oklahoma City Thunder,104,Portland Trail Blazers,111
10/30/2013,Indiana Pacers,95,Utah Jazz,86
10/30/2013,New York Knicks,113,Brooklyn Nets,83
10/30/2013,Miami Heat,87,Chicago Bulls,107
10/30/2013,Los Angeles Clippers,101,Memphis Grizzlies,81
10/30/2013,Cleveland Cavaliers,89,Atlanta Hawks,108
10/30/2013,Denver Nuggets,98,Boston Celtics,106
10/30/2013,Philadelphia 76ers,88,Charlotte Bobcats,105
10/30/2013,Golden State Warriors,83,Houston Rockets,105
10/30/2013,Oklahoma City Thunder,109,New Orleans Pelicans,95
10/30/2013,Orlando Magic,83,New York Knicks,121
10/30/2013,Toronto Raptors,97,Phoenix Suns,106
10/30/2013,Utah Jazz,98,Portland Trail Blazers,130
10/30/2013,Los Angeles Lakers,106,Sacramento Kings,100
10/30/2013,Milwaukee Bucks,109,Washington Wizards,105
10/30/2013,Detroit Pistons,92,Chicago Bulls,75
10/30/2013,Los Angeles Clippers,82,Cleveland Cavaliers,88
10/30/2013,Golden State Warriors,108,Memphis Grizzlies,82
10/30/2013,Brooklyn Nets,90,Milwaukee Bucks,82
10/30/2013,Miami Heat,103,Minnesota Timberwolves,82
10/30/2013,Denver Nuggets,103,Philadelphia 76ers,92
10/30/2013,Dallas Mavericks,108,Portland Trail Blazers,106
10/30/2013,Indiana Pacers,111,San Antonio Spurs,100
10/30/2013,Sacramento Kings,112,Utah Jazz,102
10/30/2013,Miami Heat,110,Detroit Pistons,95
10/30/2013,Orlando Magic,88,Houston Rockets,98
10/30/2013,Toronto Raptors,106,Los Angeles Lakers,94
10/30/2013,Boston Celtics,114,New York Knicks,73
10/30/2013,Indiana Pacers,94,Oklahoma City Thunder,118
10/30/2013,Golden State Warriors,111,Charlotte Bobcats,115
10/30/2013,Orlando Magic,85,Memphis Grizzlies,94
10/30/2013,Los Angeles Clippers,94,Philadelphia 76ers,83
10/30/2013,Dallas Mavericks,97,Sacramento Kings,112
10/30/2013,Portland Trail Blazers,105,Utah Jazz,94
10/30/2013,Denver Nuggets,75,Washington Wizards,74
10/30/2013,Oklahoma City Thunder,101,Atlanta Hawks,92
10/30/2013,Boston Celtics,96,Brooklyn Nets,104
10/30/2013,Milwaukee Bucks,78,Chicago Bulls,74
10/30/2013,New York Knicks,94,Cleveland Cavaliers,109
10/30/2013,Minnesota Timberwolves,121,Detroit Pistons,94
10/30/2013,Miami Heat,84,Indiana Pacers,90
10/30/2013,Phoenix Suns,114,Los Angeles Lakers,108
10/30/2013,San Antonio Spurs,116,Toronto Raptors,103
10/30/2013,Los Angeles Clippers,96,Boston Celtics,88
10/30/2013,Orlando Magic,92,Charlotte Bobcats,83
10/30/2013,Dallas Mavericks,93,Golden State Warriors,95
10/30/2013,Oklahoma City Thunder,116,Memphis Grizzlies,100
10/30/2013,San Antonio Spurs,109,Milwaukee Bucks,77
10/30/2013,Philadelphia 76ers,99,Minnesota Timberwolves,106
10/30/2013,Detroit Pistons,106,New Orleans Pelicans,111
10/30/2013,Chicago Bulls,78,New York Knicks,83
10/30/2013,Utah Jazz,122,Sacramento Kings,101
10/30/2013,Los Angeles Clippers,93,Brooklyn Nets,102
10/30/2013,Houston Rockets,104,Portland Trail Blazers,111
10/30/2013,Washington Wizards,99,Atlanta Hawks,101
10/30/2013,New York Knicks,86,Boston Celtics,90
10/30/2013,Utah Jazz,103,Denver Nuggets,93
10/30/2013,Brooklyn Nets,99,Detroit Pistons,103
10/30/2013,Houston Rockets,116,Golden State Warriors,112
10/30/2013,Charlotte Bobcats,94,Indiana Pacers,99
10/30/2013,Chicago Bulls,91,Milwaukee Bucks,90
10/30/2013,Memphis Grizzlies,98,New Orleans Pelicans,104
10/30/2013,Los Angeles Lakers,97,Oklahoma City Thunder,122
10/30/2013,Cleveland Cavaliers,109,Orlando Magic,100
10/30/2013,Sacramento Kings,107,Phoenix Suns,116
10/30/2013,Minnesota Timberwolves,110,San Antonio Spurs,117
10/30/2013,Philadelphia 76ers,100,Toronto Raptors,108
10/30/2013,Los Angeles Lakers,88,Charlotte Bobcats,85
10/30/2013,Toronto Raptors,99,Chicago Bulls,77
10/30/2013,Milwaukee Bucks,93,Dallas Mavericks,106
10/30/2013,Cleveland Cavaliers,107,Miami Heat,114
10/30/2013,Atlanta Hawks,106,New York Knicks,111
10/30/2013,Portland Trail Blazers,139,Philadelphia 76ers,105
10/30/2013,San Antonio Spurs,100,Utah Jazz,84
10/30/2013,Los Angeles Clippers,113,Washington Wizards,97
10/30/2013,New Orleans Pelicans,93,Denver Nuggets,102
10/30/2013,Portland Trail Blazers,111,Detroit Pistons,109
10/30/2013,Minnesota Timberwolves,101,Memphis Grizzlies,93
10/30/2013,Orlando Magic,98,Oklahoma City Thunder,101
10/30/2013,Golden State Warriors,102,Phoenix Suns,106
10/30/2013,Houston Rockets,91,Sacramento Kings,106
10/30/2013,Los Angeles Lakers,100,Atlanta Hawks,114
10/30/2013,Minnesota Timberwolves,97,Boston Celtics,101
10/30/2013,Philadelphia 76ers,94,Brooklyn Nets,130
10/30/2013,Orlando Magic,83,Chicago Bulls,82
10/30/2013,Detroit Pistons,101,Indiana Pacers,96
10/30/2013,San Antonio Spurs,92,Los Angeles Clippers,115
10/30/2013,Utah Jazz,94,Miami Heat,117
10/30/2013,Washington Wizards,102,New York Knicks,101
10/30/2013,Sacramento Kings,87,Charlotte Bobcats,95
10/30/2013,Portland Trail Blazers,119,Cleveland Cavaliers,116
10/30/2013,Oklahoma City Thunder,105,Denver Nuggets,93
10/30/2013,New Orleans Pelicans,93,Golden State Warriors,104
10/30/2013,Los Angeles Lakers,96,Memphis Grizzlies,92
10/30/2013,Sacramento Kings,107,Atlanta Hawks,124
10/30/2013,Detroit Pistons,107,Boston Celtics,106
10/30/2013,Washington Wizards,113,Brooklyn Nets,107
10/30/2013,Memphis Grizzlies,91,Dallas Mavericks,105
10/30/2013,Chicago Bulls,94,Houston Rockets,109
10/30/2013,New Orleans Pelicans,95,Los Angeles Clippers,108
10/30/2013,Indiana Pacers,94,Miami Heat,97
10/30/2013,New York Knicks,107,Milwaukee Bucks,101
10/30/2013,Portland Trail Blazers,109,Minnesota Timberwolves,120
10/30/2013,Utah Jazz,86,Orlando Magic,82
10/30/2013,San Antonio Spurs,108,Phoenix Suns,101
10/30/2013,Charlotte Bobcats,104,Toronto Raptors,102
10/30/2013,San Antonio Spurs,104,Golden State Warriors,102
10/30/2013,Chicago Bulls,95,Oklahoma City Thunder,107
10/30/2013,Utah Jazz,85,Atlanta Hawks,118
10/30/2013,Milwaukee Bucks,111,Cleveland Cavaliers,114
10/30/2013,Toronto Raptors,109,Dallas Mavericks,108
10/30/2013,Phoenix Suns,103,Denver Nuggets,99
10/30/2013,Charlotte Bobcats,116,Detroit Pistons,106
10/30/2013,Houston Rockets,81,Indiana Pacers,114
10/30/2013,Minnesota Timberwolves,91,Los Angeles Lakers,104
10/30/2013,Sacramento Kings,103,Miami Heat,122
10/30/2013,Brooklyn Nets,120,Philadelphia 76ers,121
10/30/2013,Washington Wizards,106,Boston Celtics,99
10/30/2013,Utah Jazz,88,Charlotte Bobcats,85
10/30/2013,Cleveland Cavaliers,84,Chicago Bulls,100
10/30/2013,Houston Rockets,114,Detroit Pistons,97
10/30/2013,Los Angeles Lakers,83,Golden State Warriors,102
10/30/2013,Denver Nuggets,91,Los Angeles Clippers,112
10/30/2013,Philadelphia 76ers,106,Milwaukee Bucks,116
10/30/2013,Memphis Grizzlies,95,New York Knicks,87
10/30/2013,Sacramento Kings,105,Orlando Magic,100
10/30/2013,Dallas Mavericks,108,Phoenix Suns,123
10/30/2013,New Orleans Pelicans,107,Portland Trail Blazers,110
10/30/2013,Oklahoma City Thunder,113,San Antonio Spurs,100
10/30/2013,Boston Celtics,79,Indiana Pacers,106
10/30/2013,Minnesota Timberwolves,116,Los Angeles Clippers,120
10/30/2013,Toronto Raptors,104,Oklahoma City Thunder,98
10/30/2013,Indiana Pacers,103,Brooklyn Nets,86
10/30/2013,Milwaukee Bucks,110,Charlotte Bobcats,111
10/30/2013,Detroit Pistons,115,Cleveland Cavaliers,92
10/30/2013,Golden State Warriors,89,Denver Nuggets,81
10/30/2013,Dallas Mavericks,111,Houston Rockets,104
10/30/2013,Utah Jazz,94,Memphis Grizzlies,104
10/30/2013,Atlanta Hawks,119,Miami Heat,121
10/30/2013,New York Knicks,103,Orlando Magic,98
10/30/2013,Los Angeles Lakers,90,Phoenix Suns,117
10/30/2013,New Orleans Pelicans,113,Sacramento Kings,100
10/30/2013,Toronto Raptors,99,San Antonio Spurs,112
10/30/2013,Chicago Bulls,95,Brooklyn Nets,78
10/30/2013,Los Angeles Clippers,103,Golden State Warriors,105
10/30/2013,Miami Heat,101,Los Angeles Lakers,95
10/30/2013,Oklahoma City Thunder,123,New York Knicks,94
10/30/2013,Houston Rockets,111,San Antonio Spurs,98
10/30/2013,Atlanta Hawks,127,Cleveland Cavaliers,125
10/30/2013,San Antonio Spurs,116,Dallas Mavericks,107
10/30/2013,Memphis Grizzlies,92,Houston Rockets,100
10/30/2013,Los Angeles Clippers,112,Portland Trail Blazers,116
10/30/2013,Milwaukee Bucks,93,Brooklyn Nets,104
10/30/2013,Oklahoma City Thunder,89,Charlotte Bobcats,85
10/30/2013,Phoenix Suns,86,Golden State Warriors,115
10/30/2013,Washington Wizards,98,Minnesota Timberwolves,120
10/30/2013,Denver Nuggets,89,New Orleans Pelicans,105
10/30/2013,Toronto Raptors,95,New York Knicks,83
10/30/2013,Detroit Pistons,92,Orlando Magic,109
10/30/2013,Miami Heat,103,Sacramento Kings,108
10/30/2013,Los Angeles Lakers,103,Utah Jazz,105
10/30/2013,Charlotte Bobcats,116,Atlanta Hawks,118
10/30/2013,Cleveland Cavaliers,100,Boston Celtics,103
10/30/2013,Dallas Mavericks,105,Chicago Bulls,83
10/30/2013,New Orleans Pelicans,98,Houston Rockets,107
10/30/2013,Brooklyn Nets,91,Indiana Pacers,105
10/30/2013,Utah Jazz,90,Los Angeles Clippers,98
10/30/2013,Denver Nuggets,99,Memphis Grizzlies,120
10/30/2013,Minnesota Timberwolves,117,Milwaukee Bucks,95
10/30/2013,Philadelphia 76ers,101,Phoenix Suns,115
10/30/2013,Miami Heat,108,Portland Trail Blazers,107
10/30/2013,New York Knicks,100,Toronto Raptors,115
10/30/2013,Detroit Pistons,82,Washington Wizards,106
10/30/2013,Golden State Warriors,108,Cleveland Cavaliers,104
10/30/2013,Philadelphia 76ers,111,Los Angeles Lakers,104
10/30/2013,Houston Rockets,86,Oklahoma City Thunder,117
10/30/2013,Atlanta Hawks,102,Orlando Magic,109
10/30/2013,Sacramento Kings,104,San Antonio Spurs,112
10/30/2013,Miami Heat,97,Denver Nuggets,94
10/30/2013,Washington Wizards,106,Detroit Pistons,99
10/30/2013,Phoenix Suns,107,Los Angeles Clippers,88
10/30/2013,Chicago Bulls,95,Memphis Grizzlies,91
10/30/2013,Dallas Mavericks,100,Minnesota Timberwolves,98
10/30/2013,Portland Trail Blazers,108,New Orleans Pelicans,110
